"ano";"tipo";"razon_social";"nombre_establecimiento";"rubro_retc";"region";"comuna";"capitulo_ler";"subcapitulo_ler";"nombre_ler";"tratamiento";"valorizacion_eliminacion";"cantidad_toneladas";"declaracion_estimacion";"establecimiento_destinatario";"comuna_destinatario"
"2017";"Municipio";"MUNICIPALIDAD DE LAMPA";"MUNICIPALIDAD DE LAMPA";NA;"Metropolitana de Santiago";"Lampa";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";6,58;"Declaración";"COACTIVA";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE ISLA DE PASCUA";"MUNICIPALIDAD DE ISLA DE PASCUA";NA;"Valparaíso";"Isla de Pascua";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Co-procesamiento";"Valorización";1,2;"Declaración";"CEMENTO MELÓN PLANTA LA CALERA";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE HIJUELAS";"MUNICIPALIDAD DE HIJUELAS";NA;"Valparaíso";"Hijuelas";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";1,63;"Declaración";"COACTIVA";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE PICHIDEGUA";"MUNICIPALIDAD DE PICHIDEGUA";NA;"Libertador Gral. Bernardo O'Higgins";"Pichidegua";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Co-procesamiento";"Valorización";3,15;"Declaración";"VERALLIA CHILE SA";"Rengo"
"2017";"Municipio";"MUNICIPALIDAD DE PALMILLA";"MUNICIPALIDAD DE PALMILLA";NA;"Libertador Gral. Bernardo O'Higgins";"Palmilla";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";1,22;"Declaración";"COACTIVA";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE VINA DEL MAR";"MUNICIPALIDAD DE VIÑA DEL MAR";NA;"Valparaíso";"Viña del Mar";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Co-procesamiento";"Valorización";8,24;"Declaración";"CEMENTO MELÓN PLANTA LA CALERA";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE PADRE HURTADO";"MUNICIPALIDAD DE PADRE HURTADO";NA;"Metropolitana de Santiago";"Padre Hurtado";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";0,499;"Declaración";"COACTIVA";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE CALERA DE TANGO";"MUNICIPALIDAD DE CALERA DE TANGO";NA;"Metropolitana de Santiago";"Calera de Tango";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";1,48;"Declaración";"PLANTA POLPAICO - TIL TIL";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE RENGO";"MUNICIPALIDAD DE RENGO";NA;"Libertador Gral. Bernardo O'Higgins";"Rengo";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Co-procesamiento";"Valorización";30099;"Declaración";"VERALLIA CHILE SA";"Rengo"
"2017";"Municipio";"MUNICIPALIDAD DE PARRAL";"MUNICIPALIDAD DE PARRAL";NA;"Maule";"Parral";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";5,69;"Declaración";"COACTIVA";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE SALAMANCA";"MUNICIPALIDAD DE SALAMANCA";NA;"Coquimbo";"Salamanca";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";1,06;"Declaración";"PLANTA POLPAICO - TIL TIL";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE JUAN FERNANDEZ";"MUNICIPALIDAD DE JUAN FERNÁNDEZ";NA;"Valparaíso";"Juan Fernández";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Incineración sin recuperación de energía";"Eliminación";300;"Declaración";NA;NA
