"tratamiento";"tipo";"razon_social";"nombre_ler";"total";"carac"
"Co-procesamiento";"Generador Industrial";"KIMBERLY-CLARK CHILE S.A.";"Plásticos";403,74;"plásticos"
"Co-procesamiento";"Generador Industrial";"CAMBIASO HNOS S A C";"Plásticos";385,17;"plásticos"
"Co-procesamiento";"Generador Industrial";"EMBOTELLADORAS CHILENAS UNIDAS S.A";"Envases de plástico";281,4983;"plásticos"
"Co-procesamiento";"Generador Industrial";"DBATTISTA Y COMPANIA LIMITADA";"Plásticos";268,24;"plásticos"
"Co-procesamiento";"Generador Industrial";"CAMBIASO HNOS S A C";"Residuos de plástico";265,07;"plásticos"
"Co-procesamiento";"Generador Industrial";"SOC COMERCIAL DEGRAF LIMITADA";"Plásticos";178,789;"plásticos"
"Co-procesamiento";"Generador Industrial";"COMPANIA AGROPECUARIA COPEVAL S A";"Envases de plástico";138,904;"plásticos"
"Co-procesamiento";"Generador Industrial";"NESTLE CHILE SA";"Envases de plástico";126,15;"plásticos"
"Co-procesamiento";"Generador Industrial";"CMPC TISSUE S A";"Plásticos";42,18;"plásticos"
"Co-procesamiento";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"Plásticos";31,615;"plásticos"
"Incineración con recuperación de energía";"Generador Industrial";"ECOMAULE S A";"Plástico y caucho";20,78;"plásticos"
"Co-procesamiento";"Generador Industrial";"COAGRA S A";"Envases de plástico";20,443;"plásticos"
"Co-procesamiento";"Generador Industrial";"MARTINEZ Y VALDIVIESO S.A.";"Envases de plástico";15,62;"plásticos"
"Co-procesamiento";"Generador Industrial";"LABORATORIO DURANDIN S A I";"Residuos de plástico";13,8;"plásticos"
"Co-procesamiento";"Generador Industrial";"EMBOTELLADORA ANDINA S A";"Plásticos";11,3;"plásticos"
"Co-procesamiento";"Generador Industrial";"TRANSPORTES CCU LTDA";"Plásticos";11,17;"plásticos"
"Co-procesamiento";"Municipio";"MUNICIPALIDAD DE PARRAL";"Plásticos";11,069;"plásticos"
"Co-procesamiento";"Municipio";"MUNICIPALIDAD DE LAMPA";"Plásticos";9,72;"plásticos"
