Tipo o Rol declarante;Razón Social;Nombre Establecimiento;ID Establecimiento VU;Rubro;CIIU4;Región;Provincia;Comuna;Latitud;Longitud;Capítulo LER;Subcapítulo LER;Nombre LER;Cantidad (Toneladas);Año;Razón Social Destinatario;Nombre de Establecimiento Destinatario;Tipo de Tratamiento;Región destinatario;Provincia Destinatario;Comuna Destinatario
Municipio;I MUNICIPALIDAD DE LIMACHE;ILUSTRE MUNICIPALIDAD DE LIMACHE;3130791;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Valparaíso;Marga Marga;Limache;-33,00952416;-71,2595877;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;1275,79;2014;GESTION INTEGRAL DE RESIDUOS S A;RELLENO SANITARIO EL MOLLE;Relleno sanitario;Valparaíso;Valparaíso;Valparaíso
Municipio;I MUNICIPALIDAD DE MALLOA;ILUSTRE MUNICIPALIDAD DE MALLOA;3022587;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Libertador General Bernardo Ohiggins;Cachapoal;Malloa;-34,44238716;-70,94638733;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;3670;2014;I MUNICIPALIDAD DE RANCAGUA;RELLENO SANITARIO COLIHUES LA YESCA;Relleno sanitario;Libertador General Bernardo Ohiggins;Cachapoal;Rancagua
Municipio;I MUNICIPALIDAD DE OSORNO;ILUSTRE MUNICIPALIDAD DE OSORNO;4587532;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Los Lagos;Osorno;Osorno;-40,57450709;-73,13581543;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Residuos de parques y jardines (incluidos los residuos de cementerios);Tierra y piedras;3329;2014;ILUSTRE MUNICIPALIDAD DE OSORNO;ILUSTRE MUNICIPALIDAD DE OSORNO;null;null;null;null
Municipio;ILUSTRE MUNICIPALIDAD DE PICHILEMU;ILUSTRE MUNICIPALIDAD DE PICHILEMU;5441498;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Libertador General Bernardo Ohiggins;Cardenal Caro;Pichilemu;-34,3867231;-72,00476995;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;20983;2014;INGENIERÍA Y CONSTRUCCIONES CARDENAL CARO LIMITADA;INGENIERÍA Y CONSTRUCCIONES CARDENAL CARO LIMITADA;Relleno sanitario;null;null;null
Municipio;I MUNICIPALIDAD DE ANCUD;ILUSTRE MUNICIPALIDAD DE ANCUD;911514;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Los Lagos;Chiloé;Ancud;-41,86828719;-73,82839654;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;17340;2014;I MUNICIPALIDAD DE ANCUD;VERTEDERO MUNICIPAL DE ANCUD;Vertedero;Los Lagos;Chiloé;Ancud
Municipio;I MUNICIPALIDAD DE VINA DEL MAR;ILUSTRE MUNICIPALIDAD DE VIÑA DEL MAR;4055170;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Valparaíso;Valparaíso;Viña del Mar;-33,02346101;-71,55374101;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Otras fracciones no especificadas en otra categoría;36;2014;MELON S.A.;CEMENTO MELÓN PLANTA LA CALERA;Co-procesamiento;Metropolitana de Santiago;Santiago;Las Condes
Municipio;I MUNICIPALIDAD DE VINA DEL MAR;ILUSTRE MUNICIPALIDAD DE VIÑA DEL MAR;4055170;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Valparaíso;Valparaíso;Viña del Mar;-33,02346101;-71,55374101;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Papel y cartón;17;2014;SOC RECUPERADORA DE PAPEL S A;SOCIEDAD RECUPERADORA DE PAPELES;Reciclaje de papel, cartón y productos de papel;Metropolitana de Santiago;Santiago;San Joaquín
Municipio;I MUNICIPALIDAD DE MAFIL;ILUSTRE MUNICIPALIDAD DE MÁFIL;1986196;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Los Ríos;Valdivia;Máfil;-39,66490072;-72,95715478;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;1316;2014;I MUNICIPALIDAD VALDIVIA;VERTEDERO DE MORROMPULLI Y EDIFICIO CONSISTORIAL;Vertedero;Los Ríos;Valdivia;Valdivia
Municipio;ILUSTRE MUNICIPALIDAD DE PORTEZUELO;ILUSTRE MUNICIPALIDAD DE PORTEZUELO;3023311;;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Ñuble;Itata;Portezuelo;-36,5298514;-72,42756924;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;612,51;2014;ECOBIO SA;ECOBIO;Relleno sanitario;Ñuble;Diguillín;Chillan Viejo
Municipio;I MUNICIPALIDAD DE LA GRANJA;ILUSTRE MUNICIPALIDAD DE LA GRANJA;4055176;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Santiago;La Granja;-33,54367738;-70,63246525;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Papel y cartón;35;2014;SOC RECUPERADORA DE PAPEL S A;SOCIEDAD RECUPERADORA DE PAPELES;Reciclaje de papel, cartón y productos de papel;Metropolitana de Santiago;Santiago;San Joaquín
