Tipo o Rol declarante;Razón Social;Nombre Establecimiento;ID Establecimiento VU;Rubro;CIIU4;Región;Provincia;Comuna;Latitud;Longitud;Capítulo LER;Subcapítulo LER;Nombre LER;Cantidad (Toneladas);Año;Razón Social Destinatario;Nombre de Establecimiento Destinatario;Tipo de Tratamiento;Región Destinatario;Provincia Destinatario;Comuna Destinatario
Municipio;I MUNICIPALIDAD DE VILLARRICA;ILUSTRE MUNICIPALIDAD DE VILLARRICA;1986455;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Araucanía;Cautín;Villarrica;-39,28328341;-72,2273039;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Papel y cartón;1,5;2015;SOC RECUPERADORA DE PAPEL S A;SOCIEDAD RECUPERADORA DE PAPELES;Reciclaje de papel, cartón y productos de papel;Metropolitana de Santiago;Santiago;San Joaquín
Municipio;I MUNICIPALIDAD DE VITACURA;ILUSTRE MUNICIPALIDAD DE VITACURA;4086144;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Santiago;Vitacura;-33,39881662;-70,60137674;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;48087;2015;K D M  S A;RELLENO SANITARIO LOMA LOS COLORADOS;Relleno sanitario;Metropolitana de Santiago;Santiago;Quilicura
Municipio;I MUNICIPALIDAD DE LANCO;ILUSTRE MUNICIPALIDAD DE LANCO;1986194;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Los Ríos;Valdivia;Lanco;-39,45102362;-72,77961193;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Papel y cartón;3,1;2015;REPAC;REPAC;Preparación para reutilización;null;null;null
Municipio;I MUNICIPALIDAD DE LANCO;ILUSTRE MUNICIPALIDAD DE LANCO;1986194;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Los Ríos;Valdivia;Lanco;-39,45102362;-72,77961193;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Vidrio;15,3;2015;CRISTALERIAS TORO SPA;CRISTALERIAS TORO SPA;Reciclaje de vidrio;Metropolitana de Santiago;Santiago;Cerrillos
Municipio;I MUNICIPALIDAD DE LAUTARO;ILUSTRE MUNICIPALIDAD DE LAUTARO;5441717;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Araucanía;Cautín;Lautaro;-38,53106198;-72,43947749;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;562;2015;I MUNICIPALIDAD DE TEMUCO;CENTRO DE DISPOSICIÓN FINAL DE RESIDUOS SOLIDOS MUNICIPALES  BOYECO;Vertedero;Araucanía;Cautín;Temuco
Municipio;ILUSTRE MUNICIPALIDAD DE ALGARROBO;ILUSTRE MUNICIPALIDAD DE ALGARROBO;4055175;;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Valparaíso;San Antonio;Algarrobo;-33,36689675;-77,67324894;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Vidrio;140;2015;CRISTALERIAS TORO SPA;CRISTALERIAS TORO SPA;Reciclaje de vidrio;Metropolitana de Santiago;Santiago;Cerrillos
Municipio;I MUNICIPALIDAD DE CURICO;ILUSTRE MUNICIPALIDAD DE CURICÓ;3023079;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Maule;Curicó;Curicó;-34,98597112;-71,23873401;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Residuos municipales no especificados en otra categoría;552;2015;ECOBIO SA;ECOBIO;Relleno sanitario;Ñuble;Diguillín;Chillan Viejo
Municipio;ILUSTRE MUNICIPALIDAD DE BUIN;ILUSTRE MUNICIPALIDAD DE BUIN;325223;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Maipo;Buin;-33,7317616;-70,74169329;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Otras fracciones no especificadas en otra categoría;35205,71;2015;CONSORCIO SANTA MARTA S A;RELLENO SANITARIO SANTA MARTA;Relleno sanitario;Metropolitana de Santiago;Maipo;San Bernardo
Municipio;ILUSTRE MUNICIPALIDAD DE PALMILLA;ILUSTRE MUNICIPALIDAD DE PALMILLA;253468;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Libertador General Bernardo Ohiggins;Colchagua;Palmilla;-34,57742364;-71,38013019;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;1274,68;2015;I MUNICIPALIDAD DE RANCAGUA;RELLENO SANITARIO COLIHUES LA YESCA;Relleno sanitario;Libertador General Bernardo Ohiggins;Cachapoal;Rancagua
Municipio;I MUNICIPALIDAD DE PROVIDENCIA;MUNICIPALIDAD DE PROVIDENCIA;4585273;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Santiago;Providencia;-33,43201876;-70,60931115;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Plásticos;59,06;2015;Villalobos e Hijo Ltda.;Villalobos e Hijo Ltda.;Relleno sanitario;null;null;null
