Tipo o Rol declarante;Razón Social;Nombre Establecimiento;ID Establecimiento VU;Rubro;CIIU4;Región;Provincia;Comuna;Latitud;Longitud;Capítulo LER;Subcapítulo LER;Nombre LER;Cantidad (Toneladas);Año;Razón Social Destinatario;Nombre Establecimiento Destinatario;Tipo de Tratamiento;Región destinatario;Provincia Destinatario;Comuna Destinatario
Municipio;I MUNICIPALIDAD DE QUEILEN;MUNICIPALIDAD DE QUEILÉN;911611;Gestor de residuos;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Los Lagos;Chiloé;Queilén;-42,85337765;-73,48430813;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;604;2016;I MUNICIPALIDAD DE QUEILEN;MUNICIPALIDAD DE QUEILÉN;Vertedero;Los Lagos;Chiloé;Queilén
Municipio;ILUSTRE MUNICIPALIDAD DE VALPARAÍSO;ILUSTRE MUNICIPALIDAD DE VALPARAÍSO;5441443;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Valparaíso;Valparaíso;Valparaíso;-33,04723373;-71,61268988;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Plásticos;55,13;2016;Reciclaje Integrales Rinoplast Ltda.;Reciclaje Integrales Rinoplast Ltda.;Reciclaje de plásticos;null;null;null
Municipio;I MUNICIPALIDAD DE PUENTE ALTO;MUNICIPALIDAD DE PUENTE ALTO;5463019;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Cordillera;Puente Alto;-33,59291851;-70,57950252;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Residuos municipales no especificados en otra categoría;214866;2016;CONSORCIO SANTA MARTA S A;RELLENO SANITARIO SANTA MARTA;Relleno sanitario;Metropolitana de Santiago;Maipo;San Bernardo
Municipio;I MUNICIPALIDAD DE PUERTO MONTT;MUNICIPALIDAD DE PUERTO MONTT;5464295;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Los Lagos;Llanquihue;Puerto Montt;-41,46891295;-72,94113917;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;13358,43;2016;I MUNICIPALIDAD DE PUERTO MONTT;VERTEDERO MUNICIPAL LAGUNITAS;Vertedero;Los Lagos;Llanquihue;Puerto Montt
Municipio;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;5441557;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Bío-Bío;Arauco;Los Alamos;-37,62612516;-73,4622622;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;564,825;2016;JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES;JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES;Relleno sanitario;null;null;null
Municipio;ILUSTRE MUNICIPALIDAD DE SANTA JUANA;ILUSTRE MUNICIPALIDAD DE SANTA JUANA;1963661;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Bío-Bío;Concepción;Santa Juana;-37,17466504;-72,93681626;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Residuos municipales no especificados en otra categoría;3585,43;2016;CENTRO DE MANEJO DE RESIDUOS CONCEPCION SOCIEDAD ANONIMA;CEMARC SA;Relleno sanitario;Bío-Bío;Concepción;Penco
Municipio;I MUNICIPALIDAD DE DALCAHUE;ILUSTRE MUNICIPALIDAD DE DALCAHUE;911516;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Los Lagos;Chiloé;Dalcahue;-42,3805795;-73,64813026;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Vidrio;29,2;2016;CRISTALERIAS TORO SPA;CRISTALERIAS TORO SPA;Reciclaje de vidrio;Metropolitana de Santiago;Santiago;Cerrillos
Municipio;I MUNICIPALIDAD DE PROVIDENCIA;MUNICIPALIDAD DE PROVIDENCIA;4585273;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Santiago;Providencia;-33,43201876;-70,60931115;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Aceites y grasas comestibles;1128;2016;SOCIEDAD GENERAL RENDERING CHILE LIMITADA;SOCIEDAD GENERAL RENDERING CHILE SA;Pretramiento de aceites y grasas comestibles;Metropolitana de Santiago;Chacabuco;Lampa
Municipio;I MUNICIPALIDAD DE PROVIDENCIA;MUNICIPALIDAD DE PROVIDENCIA;4585273;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Santiago;Providencia;-33,43201876;-70,60931115;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Plásticos;107;2016;RECIPET S A;RECIPET SA;Reciclaje de plásticos;Metropolitana de Santiago;Maipo;San Bernardo
Municipio;I.MUNICIPALIDAD DE ROMERAL;ILUSTRE MUNICIPALIDAD DE ROMERAL;5466524;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Maule;Curicó;Romeral;-34,9604036;-71,12593596;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;3754,47;2016;RELLENOS SANITARIOS DEL MAULE S A;RELLENO SANITARIO DEL MAULE S.A.;Relleno sanitario;Metropolitana de Santiago;Santiago;Quilicura
