Tipo o Rol Declarante;Razón Social;Nombre Establecimiento;ID Establecimiento (VU);Región;Provincia;Comuna;Huso;Coordenada Este;Coordenada Norte;Capítulo LER;Subcapitulo LER;Nombre LER;Tratamiento;Valorización/eliminación;Cantidad (Toneladas);Declaración/Estimación;Año;Nombre de Establecimiento Destinatario;Razón Social Destinatario;Comuna Destinatario;Región Destinatario
Municipio;I MUNICIPALIDAD DE TIRUA;ILUSTRE MUNICIPALIDAD DE TIRÚA;1964126;Bío-Bío;Arauco;Tirúa;18;631638;5754929;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;Vertedero;Eliminación;16;Declaración;2017;;servicios jorge arnaboldi caceres limitada;;
Municipio;I MUNICIPALIDAD DE ANCUD;ILUSTRE MUNICIPALIDAD DE ANCUD;911514;Los Lagos;Chiloé;Ancud;18;597230;5364184;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Metales;Pretratamiento de Metales ;Valorización;0,046;Declaración;2017;ACOPIO DE RESIDUOS SOLIDOS RECICLABLES;RECICLACHILOE SPA;Castro;Los Lagos
Municipio;I MUNICIPALIDAD DE SAN MIGUEL;ILUSTRE MUNICIPALIDAD DE SAN MIGUEL;253465;Metropolitana de Santiago;Santiago;San Miguel;19;346733;6293634;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Plásticos;Reciclaje de plásticos;Valorización;12;Declaración;2017;RECIPET SA;RECIPET S A;San Bernardo;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE LOS VILOS;ILUSTRE MUNICIPALIDAD DE LOS VILOS;879731;Coquimbo;Choapa;Los Vilos;19;262519;6466783;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;Vertedero;Eliminación;22448;Declaración;2017;;Vertedero Municipalidad de Los Vilos ;;
Municipio;ILUSTRE MUNICIPALIDAD DE CUREPTO;ILUSTRE MUNICIPALIDAD DE CUREPTO;5441514;Maule;Talca;Curepto;18;771573;6112266;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Residuos de limpieza viaria;Relleno sanitario;Eliminación;1717,29;Declaración;2017;RELLENO SANITARIO DEL MAULE S.A.;RELLENOS SANITARIOS DEL MAULE S A;Quilicura;Metropolitana de Santiago
Municipio;I MUNICIPALIDAD DE VILLARRICA;ILUSTRE MUNICIPALIDAD DE VILLARRICA;1986455;Araucanía;Cautín;Villarrica;18;739151;5648121;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Aceites y grasas comestibles;Preparación para reutilización;Valorización;0,7;Declaración;2017;BIOILS SPA;BIOILS SPA;Maipú;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE CASABLANCA;ILUSTRE MUNICIPALIDAD DE CASABLANCA;4055173;Valparaíso;Valparaíso;Casablanca;19;275743;6311509;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;Vertedero;Eliminación;12000;Declaración;2017;;MUNICIPALIDAD DE CASABLANCA;;
Municipio;ILUSTRE MUNICIPALIDAD DE CASABLANCA;ILUSTRE MUNICIPALIDAD DE CASABLANCA;4055173;Valparaíso;Valparaíso;Casablanca;19;275743;6311509;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Residuos de parques y jardines (incluidos los residuos de cementerios);Residuos biodegradables;Vertedero;Eliminación;1800;Declaración;2017;;MUNICIPALIDAD DE CASABLANCA;;
Municipio;ILUSTRE MUNICIPALIDAD DE CASABLANCA;ILUSTRE MUNICIPALIDAD DE CASABLANCA;4055173;Valparaíso;Valparaíso;Casablanca;19;275743;6311509;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Otras fracciones no especificadas en otra categoría;Reciclaje de plásticos;Valorización;0,15;Declaración;2017;;MUNICIPALIDAD DE CASABLANCA;;
Municipio;I MUNICIPALIDAD DE CALERA DE TANGO;ILUSTRE MUNICIPALIDAD DE CALERA DE TANGO;5441689;Metropolitana de Santiago;Maipo;Calera de Tango;19;336617;6277457;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Vidrio;Reciclaje de vidrio;Valorización;62,18;Declaración;2017;CRISTALERIAS TORO SPA;CRISTALERIAS TORO SPA;Cerrillos;Metropolitana de Santiago
