Tipo o rol declarante;Nombre Establecimiento;Razón Social;ID Establecimiento VU;Rubro RETC;CIIU6;CIIU4;Región;Provincia;Comuna;Huso;Coordenada Este;Coordenada Norte;Número Capítulo;Capítulo LER;Número Subcapítulo;Subcapítulo LER;Número LER;Nombre LER;Tratamiento;Valorización/Eliminación;Cantidad (Toneladas);Declaración/Estimación;Año;ID Establecimiento VU Destinatario;Nombre Establecimiento Destinatario;Razón Social Destinatario;Comuna Destinatario;Región Destinatario
Municipio;ILUSTRE MUNICIPALIDAD DE CALERA DE TANGO;I MUNICIPALIDAD DE CALERA DE TANGO;5441689;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Metropolitana de Santiago;Maipo;Calera de Tango;19;336617;6277457;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);39;Plásticos;Reciclaje de plásticos;Valorización;1,14;Declaración;2019;;;Inversiones Atelcura SPA;;
Municipio;ILUSTRE MUNICIPALIDAD DE PAIHUANO;I MUNICIPALIDAD PAIHUANO;3741347;Otras actividades;Otras actividades de servicios personales n.c.p.;Otras actividades de servicios personales n.c.p.;Coquimbo;Elqui;Paiguano;19;353767;6676994;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Vertedero;Eliminación;6840;Declaración;2019;;;I. MUNICIPALIDAD DE PAIHUANO;;
Municipio;ILUSTRE MUNICIPALIDAD DE TEMUCO;I MUNICIPALIDAD DE TEMUCO;1965235;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Araucanía;Cautín;Temuco;18;709441;5709773;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Sitio de Escombros de la Construcción;Eliminación;5600;Declaración;2019;;;EMPRESA DE SERVICIOS MECANIZADOS ASEOS Y ROCES LTDA;;
Municipio;ILUSTRE MUNICIPALIDAD DE TEMUCO;I MUNICIPALIDAD DE TEMUCO;1965235;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Araucanía;Cautín;Temuco;18;709441;5709773;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;Papel y cartón;Reciclaje de papel, cartón y productos de papel;Valorización;364,77;Declaración;2019;;;RAFAEL RIQUELME MARTINEZ;;
Municipio;ILUSTRE MUNICIPALIDAD DE TEMUCO;I MUNICIPALIDAD DE TEMUCO;1965235;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Araucanía;Cautín;Temuco;18;709441;5709773;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);40;Metales;Reciclaje de metales;Valorización;1,95;Declaración;2019;;;RAFAEL RIQUELME MARTINEZ;;
Municipio;ILUSTRE MUNICIPALIDAD DE QUINTERO;ILUSTRE MUNICIPALIDAD DE QUINTERO;4055167;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Valparaíso;Valparaíso;Quintero;19;263301;6369659;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);40;Metales;Reciclaje de metales;Valorización;1,52;Declaración;2019;;;Metales Tapia;;
Municipio;ILUSTRE MUNICIPALIDAD DE LOS ANDES;MUNICIPALIDAD DE LOS ANDES;4053494;Otras actividades;Actividades de organizaciones y órganos extraterritoriales;Actividades de organizaciones y órganos extraterritoriales;Valparaíso;Los Andes;Los Andes;19;350228;6366140;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);99;Otras fracciones no especificadas en otra categoría;Preparación para reutilización;Valorización;2,4;Declaración;2019;;;TecaPlak Chile S.A;;
Municipio;ILUSTRE MUNICIPALIDAD DE QUELLÓN;I MUNICIPALIDAD DE QUELLON;911612;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Los Lagos;Chiloé;Quellón;18;612426;5225123;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);39;Plásticos;Reciclaje de plásticos;Valorización;3,5;Declaración;2019;;;chiloe punto verde;;
Municipio;ILUSTRE MUNICIPALIDAD DE QUELLÓN;I MUNICIPALIDAD DE QUELLON;911612;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Los Lagos;Chiloé;Quellón;18;612426;5225123;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;Papel y cartón;Reciclaje de papel, cartón y productos de papel;Valorización;2,1;Declaración;2019;;;chiloe punto verde;;
Municipio;ILUSTRE MUNICIPALIDAD DE OVALLE;MUNICIPALIDAD DE OVALLE;879726;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Coquimbo;Limarí;Ovalle;19;289376;6612193;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;Papel y cartón;Reciclaje de papel, cartón y productos de papel;Valorización;9,6;Declaración;2019;;;Reciclaje Reciclean Ltda.;;
