Año;Rol Declarante;Código VU establecimiento;Nombre establecimiento;Razon Social;CIIU4;CIIU6;Huso;UTMN;UTME;Region;Comuna;Cantidad Toneladas;Estimación/Declaración;Tratamiento;Capitulo LER;Numero Capitulo LER;Subcapitulo LER;Numero Subcapitulo LER;ler;Numero LER;retc_code_trazabilidad;nombre trazabilidad;razon social trazabilidad;comuna trazabilidad;region trazabilidad
2020;Generador Municipal;1136893;ILUSTRE MUNICIPALIDAD DE ALTO HOSPICIO;MUNICIPALIDAD DE ALTO HOSPICIO;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-77,58848;-38,84598;Tarapacá;Alto Hospicio;59000;Declaración;Relleno sanitario;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5464263;VERTEDERO EL BORO;ILUSTRE MUNICIPALIDAD DE IQUIQUE;Alto Hospicio;Tarapacá
2020;Generador Municipal;2822594;ILUSTRE MUNICIPALIDAD DE POZO ALMONTE;ILUSTRE MUNICIPALIDAD DE POZO ALMONTE;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-77,59916;-41,17911;Tarapacá;Pozo Almonte;6025;Declaración;Vertedero;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5461718;VERTEDERO DE POZO ALMONTE;ILUSTRE MUNICIPALIDAD DE POZO ALMONTE;Pozo Almonte;Tarapacá
2020;Generador Municipal;253479;ILUSTRE MUNICIPALIDAD DE CAMIÑA;ILUSTRE MUNICIPALIDAD DE CAMINA;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-78,64491;-45,55181;Tarapacá;Camiña;0,98;Declaración;null;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5461939;RELLENO SANITARIO CAMIÑA;ILUSTRE MUNICIPALIDAD DE CAMINA;Camiña;Tarapacá
2020;Generador Municipal;912283;ILUSTRE MUNICIPALIDAD DE COLCHANE;I MUNICIPALIDAD DE COLCHANE;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-77,63819;-37,79957;Tarapacá;Colchane;1440;Declaración;Vertedero;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5461718;VERTEDERO DE POZO ALMONTE;ILUSTRE MUNICIPALIDAD DE POZO ALMONTE;Pozo Almonte;Tarapacá
2020;Generador Municipal;879721;ILUSTRE MUNICIPALIDAD DE HUARA;ILUSTRE MUNICIPALIDAD DE HUARA;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-77,88637;-41,19257;Tarapacá;Huara;787,69;Declaración;Basural;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5461663;BASURAL;ILUSTRE MUNICIPALIDAD DE HUARA;Huara;Tarapacá
2020;Generador Municipal;325219;ILUSTRE MUNICIPALIDAD DE ANTOFAGASTA;I MUNICIPALIDAD DE ANTOFAGASTA;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-73,85152;-35,57631;Antofagasta;Antofagasta;150,992;Declaración;Relleno sanitario;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5485914;Chaqueta Blanca;I MUNICIPALIDAD DE ANTOFAGASTA;Antofagasta;Antofagasta
2020;Generador Municipal;4085544;ILUSTRE MUNICIPALIDAD DE SIERRA GORDA;I MUNICIPALIDAD DE SIERRA GORDA;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-74,19293;-41,13896;Antofagasta;Sierra Gorda;4903;Declaración;Vertedero;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5462378;VERTEEDERO MUNICIPAL LOCALIDAD SIERRA GORD;I MUNICIPALIDAD DE SIERRA GORDA;Sierra Gorda;Antofagasta
2020;Generador Municipal;4085544;ILUSTRE MUNICIPALIDAD DE SIERRA GORDA;I MUNICIPALIDAD DE SIERRA GORDA;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-74,19293;-41,13896;Antofagasta;Sierra Gorda;3450;Declaración;Vertedero;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5462379;VERTEDERO MUNICIPAL LOCALIDAD DE BAQUEDANO;I MUNICIPALIDAD DE SIERRA GORDA;Sierra Gorda;Antofagasta
2020;Generador Municipal;4085539;ILUSTRE MUNICIPALIDAD DE SAN PEDRO DE ATACAMA;I MUNICIPALIDAD DE SAN PEDRO DE ATACAMA;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-74,66161;-58,81990;Metropolitana de Santiago;San Pedro Atacama;3276;Declaración;Relleno sanitario;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5479805;Relleno Sanitario de San Pedro de Atacama;I MUNICIPALIDAD DE SAN PEDRO DE ATACAMA;San Pedro Atacama;Antofagasta
2020;Generador Municipal;4085539;ILUSTRE MUNICIPALIDAD DE SAN PEDRO DE ATACAMA;I MUNICIPALIDAD DE SAN PEDRO DE ATACAMA;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-74,66161;-58,81990;Metropolitana de Santiago;San Pedro Atacama;3276;Declaración;Relleno sanitario;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 99 | Residuos municipales no especificados en otra categoría;99;5479805;Relleno Sanitario de San Pedro de Atacama;I MUNICIPALIDAD DE SAN PEDRO DE ATACAMA;San Pedro Atacama;Antofagasta
2020;Generador Municipal;881991;ILUSTRE MUNICIPALIDAD DE TOCOPILLA;I MUNICIPALIDAD DE TOCOPILLA;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-75,56341;-37,76125;Antofagasta;Tocopilla;12527,896;Declaración;Relleno sanitario;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5482604;Relleno Sanitario Quebrada Ancha;I MUNICIPALIDAD DE TOCOPILLA;Tocopilla;Antofagasta
2020;Generador Municipal;5441420;ILUSTRE MUNICIPALIDAD DE MARÍA ELENA;I MUNICIPALIDAD DE MARIA ELENA;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-75,29109;-43,31412;Antofagasta;María Elena;135950,3;Declaración;Relleno sanitario;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5482604;Relleno Sanitario Quebrada Ancha;I MUNICIPALIDAD DE TOCOPILLA;Tocopilla;Antofagasta
2020;Generador Municipal;880197;ILUSTRE MUNICIPALIDAD DE COPIAPÓ;I MUNICIPALIDAD DE COPIAPO;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-69,72805;-36,68610;Atacama;Copiapó;64,08;Declaración;null;"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";15;01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal);1;15 01 02 | Envases de plástico;2;5484304;RELLENO SANITARIO EL CHULO;I MUNICIPALIDAD DE COPIAPO;Copiapó;Atacama
2020;Generador Municipal;880197;ILUSTRE MUNICIPALIDAD DE COPIAPÓ;I MUNICIPALIDAD DE COPIAPO;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-69,72805;-36,68610;Atacama;Copiapó;64477,52;Declaración;null;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5484304;RELLENO SANITARIO EL CHULO;I MUNICIPALIDAD DE COPIAPO;Copiapó;Atacama
2020;Generador Municipal;880198;ILUSTRE MUNICIPALIDAD DE CALDERA;ILUSTRE MUNICIPALIDAD DE CALDERA;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-70,04689;-31,19254;Atacama;Caldera;12788;Declaración;Relleno sanitario;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5466270;RELLENO SANITARIO CERRO MONTEVIDEO;ILUSTRE MUNICIPALIDAD DE CALDERA;Caldera;Atacama
2020;Generador Municipal;880196;ILUSTRE MUNICIPALIDAD DE CHAÑARAL;I MUNICIPALIDAD DE CHANARAL;Actividades de mantenimiento del orden público y de seguridad;Actividades de mantenimiento del orden público y de seguridad;19;-70,85172;-33,38114;Atacama;Chañaral;0,06;Declaración;null;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5485577;VERTEDERO MUNICIPAL;I MUNICIPALIDAD DE CHANARAL;Chañaral;Atacama
2020;Generador Municipal;5441425;ILUSTRE MUNICIPALIDAD DE VALLENAR;I MUNICIPALIDAD DE VALLENAR;Otras actividades de servicios personales n.c.p.;Otras actividades de servicios personales n.c.p.;19;-68,36074;-32,29317;Atacama;Vallenar;18698,15;Declaración;Relleno sanitario;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5480981;Relleno Sanitario de la Provincia del Huasco;ASOCIACION DE MUNICIPALIDADES DE LA PROVINCIA DEL HUASCO;Vallenar;Atacama
2020;Generador Municipal;911203;ILUSTRE MUNICIPALIDAD DE ALTO DEL CARMEN;ILUSTRE MUNICIPALIDAD DE ALTO DEL CARMEN;Actividades de la administración pública en general;Actividades de la administración pública en general;19;-68,17759;-35,54856;Atacama;Alto del Carmen;902,12;Declaración;Relleno sanitario;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5480981;Relleno Sanitario de la Provincia del Huasco;ASOCIACION DE MUNICIPALIDADES DE LA PROVINCIA DEL HUASCO;Vallenar;Atacama
2020;Generador Municipal;880200;ILUSTRE MUNICIPALIDAD DE FREIRINA;I MUNICIPALIDAD DE FREIRINA;Actividades de mantenimiento del orden público y de seguridad;Actividades de mantenimiento del orden público y de seguridad;19;-68,44305;-29,96479;Atacama;Freirina;2200,48;Declaración;Relleno sanitario;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5480981;Relleno Sanitario de la Provincia del Huasco;ASOCIACION DE MUNICIPALIDADES DE LA PROVINCIA DEL HUASCO;Vallenar;Atacama
2020;Generador Municipal;880201;ILUSTRE MUNICIPALIDAD DE HUASCO;I MUNICIPALIDAD DE HUASCO;Recogida de desechos no peligrosos;Recogida de desechos no peligrosos;19;-68,49124;-28,82719;Atacama;Huasco;4278;Declaración;Relleno sanitario;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5480981;Relleno Sanitario de la Provincia del Huasco;ASOCIACION DE MUNICIPALIDADES DE LA PROVINCIA DEL HUASCO;Vallenar;Atacama
2020;Generador Municipal;880201;ILUSTRE MUNICIPALIDAD DE HUASCO;I MUNICIPALIDAD DE HUASCO;Recogida de desechos no peligrosos;Recogida de desechos no peligrosos;19;-68,49124;-28,82719;Atacama;Huasco;4278;Declaración;Relleno sanitario;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 99 | Residuos municipales no especificados en otra categoría;99;5480981;Relleno Sanitario de la Provincia del Huasco;ASOCIACION DE MUNICIPALIDADES DE LA PROVINCIA DEL HUASCO;Vallenar;Atacama
