año;rol_establecimiento;id_vu;nombre_establecimiento;razon_social;rut_razon_social;ciiu4;ciiu6;latitud;longitud;id_comuna;comuna;provincia;region;rubro_vu;cantidad_toneladas;tratamiento_nivel_3;tratamiento_nivel_1;tipo_declaracion;capitulo_ler;subcapitulo_ler;nombre_ler;ler_codigo;id_vu_trazabilidad;nombre_establecimiento_trazabilidad;razon_social_trazabilidad;comuna_trazabilidad;id_comuna_trazabilidad;region_trazabilidad
2021;Generador Municipal;4055170;ILUSTRE MUNICIPALIDAD DE VIÑA DEL MAR;I MUNICIPALIDAD DE VINA DEL MAR;69061000-0;Actividades de la administración pública en general;Actividades de la administración pública en general;-33.02346101;-71,55374101;5109;Viña del Mar;Valparaíso;Valparaíso;Otras actividades;260650,797;Relleno sanitario;;Declaración;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;20 03 01;5452216,0;RELLENO SANITARIO EL MOLLE;GESTION INTEGRAL DE RESIDUOS SPA;Valparaíso;5101,0;Valparaíso
2021;Generador Municipal;5463019;MUNICIPALIDAD DE PUENTE ALTO;I MUNICIPALIDAD DE PUENTE ALTO;69072100-7;Actividades de la administración pública en general;Actividades de la administración pública en general;-33.59291851;-70,57950252;13201;Puente Alto;Cordillera;Metropolitana de Santiago;Otras actividades;252550,86;Relleno sanitario;;Declaración;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;20 03 01;7803,0;RELLENO SANITARIO LOMA LOS COLORADOS;K D M  S A;Tiltil;13303,0;Metropolitana de Santiago
2021;Generador Municipal;4053444;ILUSTRE MUNICIPALIDAD DE MAIPÚ;I MUNICIPALIDAD DE MAIPU;69070900-7;Actividades de la administración pública en general;Actividades de la administración pública en general;-33.51069283;-70,76055684;13119;Maipú;Santiago;Metropolitana de Santiago;Otras actividades;227182,7;Relleno sanitario;;Declaración;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;20 03 01;78709,0;RELLENO SANITARIO SANTIAGO PONIENTE;VEOLIA SU CHILE S.A.;Maipú;13119,0;Metropolitana de Santiago
2021;Generador Municipal;4053500;ILUSTRE MUNICIPALIDAD DE LA FLORIDA;ILUSTRE MUNICIPALIDAD DE LA FLORIDA;69070700-4;Actividades de la administración pública en general;Actividades de la administración pública en general;-33.52269055;-70,59871433;13110;La Florida;Santiago;Metropolitana de Santiago;Otras actividades;190376,47;Relleno sanitario;;Declaración;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;20 03 01;97614,0;RELLENO SANITARIO SANTA MARTA;CONSORCIO SANTA MARTA S A;Talagante;13601,0;Metropolitana de Santiago
2021;Generador Municipal;325219;ILUSTRE MUNICIPALIDAD DE ANTOFAGASTA;I MUNICIPALIDAD DE ANTOFAGASTA;69020300-6;Actividades de la administración pública en general;Actividades de la administración pública en general;-23.63803216;-70,39576866;2101;Antofagasta;Antofagasta;Antofagasta;Otras actividades;172004,13;Relleno sanitario;;Declaración;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;20 03 01;5485914,0;CHAQUETA BLANCA;I MUNICIPALIDAD DE ANTOFAGASTA;Antofagasta;2101,0;Antofagasta
2021;Generador Municipal;5441724;ILUSTRE MUNICIPALIDAD DE SANTIAGO;I MUNICIPALIDAD DE SANTIAGO;69070100-6;Actividades de la administración pública en general;Actividades de la administración pública en general;-33.43782696;-70,65044388;13101;Santiago;Santiago;Metropolitana de Santiago;Otras actividades;163683,64;Relleno sanitario;;Declaración;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;20 03 01;7803,0;RELLENO SANITARIO LOMA LOS COLORADOS;K D M  S A;Tiltil;13303,0;Metropolitana de Santiago
2021;Generador Municipal;1136893;ILUSTRE MUNICIPALIDAD DE ALTO HOSPICIO;MUNICIPALIDAD DE ALTO HOSPICIO;69265100-6;Actividades de la administración pública en general;Actividades de la administración pública en general;-20.26463746;-70,10502053;1107;Alto Hospicio;Iquique;Tarapacá;Otras actividades;156000,0;Disposición final;;Declaración;Residuos de la construcción y demolición;Otros residuos de construcción y demolición;Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03;17 09 04;;DESTINATARIO FINAL;I MUNICIPALIDAD DE IQUIQUE;Iquique;1101,0;Tarapacá
2021;Generador Municipal;879722;ILUSTRE MUNICIPALIDAD DE IQUIQUE;ILUSTRE MUNICIPALIDAD DE IQUIQUE;69010300-1;Actividades de la administración pública en general;Actividades de la administración pública en general;-20.23949876;-70,08668276;1101;Iquique;Iquique;Tarapacá;Otras actividades;140437,09;Relleno sanitario;;Declaración;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;20 03 01;5464263,0;VERTEDERO EL BORO;ILUSTRE MUNICIPALIDAD DE IQUIQUE;Alto Hospicio;1107,0;Tarapacá
2021;Generador Municipal;323796;ILUSTRE MUNICIPALIDAD DE SAN BERNARDO;I MUNICIPALIDAD DE SAN BERNARDO;69072700-5;Actividades de la administración pública en general;Actividades de la administración pública en general;-33.59526844;-70,70150871;13401;San Bernardo;Maipo;Metropolitana de Santiago;Otras actividades;136715,633;Relleno sanitario;;Declaración;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;20 03 01;97614,0;RELLENO SANITARIO SANTA MARTA;CONSORCIO SANTA MARTA S A;Talagante;13601,0;Metropolitana de Santiago
2021;Generador Municipal;5441443;ILUSTRE MUNICIPALIDAD DE VALPARAÍSO;ILUSTRE MUNICIPALIDAD DE VALPARAÍSO;69060900-2;Actividades de la administración pública en general;Actividades de la administración pública en general;-33.04723373;-71,61268988;5101;Valparaíso;Valparaíso;Valparaíso;Otras actividades;131499,05;Relleno sanitario;;Declaración;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;20 03 01;5452216,0;RELLENO SANITARIO EL MOLLE;GESTION INTEGRAL DE RESIDUOS SPA;Valparaíso;5101,0;Valparaíso
