"tipo_o_rol_declarante";"nombre_establecimiento";"razon_social";"id_establecimiento_vu";"rubro_retc";"region";"provincia";"comuna";"huso";"coordenada_este";"coordenada_norte";"capitulo_ler";"subcapitulo_ler";"nombre_ler";"tratamiento";"valorizacion_eliminacion";"cantidad_toneladas";"declaracion_estimacion";"ano";"id_establecimiento_vu_destinatario";"nombre_establecimiento_destinatario";"razon_social_destinatario";"comuna_destinatario";"region_destinatario"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LOS VILOS";"I MUNICIPALIDAD DE LOS VILOS";879731;"Municipio";"Coquimbo";"Choapa";"Los Vilos";19;262519;6466783;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";22500;"Declaración";2018;NA;"";"Vertedero Municipalidad de Los Vilos";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE LA LIGUA";"ILUSTRE MUNICIPALIDAD DE LA LIGUA";881994;"Municipio";"Valparaíso";"Petorca";"La Ligua";19;290221;6407507;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje de plásticos";"Valorización";15;"Declaración";2018;NA;"";"Verónica Elisa Tapia Cortés";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE LOS SAUCES";"ILUSTRE MUNICIPALIDAD DE LOS SAUCES";1964130;"Municipio";"Araucanía";"Malleco";"Los Sauces";NA;NA;NA;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";2736;"Declaración";2018;NA;"";"Jorge Hugo Arnaboldi Caceres";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE LOS ÁNGELES";"I MUNICIPALIDAD DE LOS ANGELES";1963508;"Municipio";"Biobío";"Biobío";"Los Angeles";18;734262;5849572;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Equipos eléctricos y electrónicos desechados distintos de los especificados en los códigos 20 01 21, 20 01 23 y 20 01 35";"Reciclaje de metales";"Valorización";1,9;"Declaración";2018;5452050;"DEGRAF LTDA (SUC RECOLETA";"SOC COMERCIAL DEGRAF LIMITADA | DEGRAF LTDA (SUC RECOLETA";"Recoleta";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE HUALAIHUÉ";"I MUNICIPALIDAD DE HUALAIHUE";911206;"Municipio";"Los Lagos";"Palena";"Hualaihué";18;709638;5350924;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";3478,2;"Declaración";2018;5463456;"VERTEDERO MUNICIPAL DE HUALAIHUE";"ILUSTRE MUNICIPALIDAD DE HUALAIHUE | VERTEDERO MUNICIPAL DE HUALAIHUE";"Hualaihué";"Los Lagos"
"Municipio";"ILUSTRE MUNICIPALIDAD DE SALAMANCA";"I MUNICIPALIDAD DE SALAMANCA";879730;"Municipio";"Coquimbo";"Choapa";"Salamanca";19;314348;6481999;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Residuos de parques y jardines (incluidos los residuos de cementerios)";"Tierra y piedras";"Vertedero";"Eliminación";1561,49;"Declaración";2018;5461047;"VERTEDERO MUNICIPAL EL QUEÑE";"I MUNICIPALIDAD DE SALAMANCA | VERTEDERO MUNICIPAL EL QUEÑE";"Salamanca";"Coquimbo"
"Municipio";"ILUSTRE MUNICIPALIDAD DE REQUINOA";"I MUNICIPALIDAD DE REQUINOA";3022585;"Municipio";"Libertador Gral. Bernardo O'Higgins";"Cachapoal";"Requínoa";19;333072;6205099;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";123;"Declaración";2018;2372;"CRISTALERIAS DE CHILE  S A";"CRISTALERIAS DE CHILE S A | CRISTALERIAS DE CHILE  S A";"Padre Hurtado";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE CISNES";"ILUSTRE MUNICIPALIDAD DE CISNES";911200;"Municipio";"Aysén del Gral. Carlos Ibáñez del Campo";"Aisén";"Cisnes";18;683604;5044695;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Residuos de parques y jardines (incluidos los residuos de cementerios)";"Otros residuos no biodegradables";"Vertedero";"Eliminación";87;"Declaración";2018;5465109;"VERTEDERO PUERTO GALA";"I MUNICIPALIDAD DE CISNES | VERTEDERO PUERTO GALA";"Cisnes";"Aysén del Gral. Carlos Ibáñez del Campo"
"Municipio";"ILUSTRE MUNICIPALIDAD DE FRUTILLAR";"ILUSTRE MUNICIPALIDAD DE FRUTILLAR";912280;"Municipio";"Los Lagos";"Llanquihue";"Frutillar";18;665510;5444271;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";28,33;"Declaración";2018;1967;"CRISTALERIAS TORO SPA";"CRISTALERIAS TORO SPA | CRISTALERIAS TORO SPA";"Cerrillos";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LAMPA";"ILUSTRE MUNICIPALIDAD DE LAMPA";325221;"Municipio";"Metropolitana";"Chacabuco";"Lampa";19;325103;6315559;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";3,14;"Declaración";2018;4586042;"COACTIVA";"CEMENTO POLPAICO S A | COACTIVA";"Tiltil";"Metropolitana"
