"tipo_o_rol_declarante";"razon_social";"nombre_establecimiento";"id_establecimiento_vu";"rubro_retc";"ciiu6";"ciiu4";"region";"provincia";"comuna";"huso";"coordenada_este";"coordenada_norte";"capitulo_ler";"subcapitulo_ler";"nombre_ler";"tratamiento";"valorizacion_eliminacion";"cantidad_toneladas";"declaracion_estimacion";"ano";"id_establecimiento_vu_destinatario";"nombre_establecimiento_destinatario";"razon_social_destinatario";"comuna_destinatario";"region_destinatario"
"Municipio";"I MUNICIPALIDAD DE CALERA DE TANGO";"ILUSTRE MUNICIPALIDAD DE CALERA DE TANGO";5441689;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Maipo";"Calera de Tango";19;336617;6277457;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje de plásticos";"Valorización";1,14;"Declaración";2019;NA;"";"Inversiones Atelcura SPA";"";""
"Municipio";"I MUNICIPALIDAD PAIHUANO";"ILUSTRE MUNICIPALIDAD DE PAIHUANO";3741347;"Otras actividades";"Otras actividades de servicios personales n.c.p.";"Otras actividades de servicios personales n.c.p.";"Coquimbo";"Elqui";"Paiguano";19;353767;6676994;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";6840;"Declaración";2019;NA;"";"I. MUNICIPALIDAD DE PAIHUANO";"";""
"Municipio";"I MUNICIPALIDAD DE TEMUCO";"ILUSTRE MUNICIPALIDAD DE TEMUCO";1965235;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Araucanía";"Cautín";"Temuco";18;709441;5709773;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Sitio de Escombros de la Construcción";"Eliminación";5600;"Declaración";2019;NA;"";"EMPRESA DE SERVICIOS MECANIZADOS ASEOS Y ROCES LTDA";"";""
"Municipio";"I MUNICIPALIDAD DE TEMUCO";"ILUSTRE MUNICIPALIDAD DE TEMUCO";1965235;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Araucanía";"Cautín";"Temuco";18;709441;5709773;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"Reciclaje de papel, cartón y productos de papel";"Valorización";364,77;"Declaración";2019;NA;"";"RAFAEL RIQUELME MARTINEZ";"";""
"Municipio";"I MUNICIPALIDAD DE TEMUCO";"ILUSTRE MUNICIPALIDAD DE TEMUCO";1965235;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Araucanía";"Cautín";"Temuco";18;709441;5709773;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Metales";"Reciclaje de metales";"Valorización";1,95;"Declaración";2019;NA;"";"RAFAEL RIQUELME MARTINEZ";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE QUINTERO";"ILUSTRE MUNICIPALIDAD DE QUINTERO";4055167;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Valparaíso";"Valparaíso";"Quintero";19;263301;6369659;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Metales";"Reciclaje de metales";"Valorización";1,52;"Declaración";2019;NA;"";"Metales Tapia";"";""
"Municipio";"MUNICIPALIDAD DE LOS ANDES";"ILUSTRE MUNICIPALIDAD DE LOS ANDES";4053494;"Otras actividades";"Actividades de organizaciones y órganos extraterritoriales";"Actividades de organizaciones y órganos extraterritoriales";"Valparaíso";"Los Andes";"Los Andes";19;350228;6366140;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Preparación para reutilización";"Valorización";2,4;"Declaración";2019;NA;"";"TecaPlak Chile S.A";"";""
"Municipio";"I MUNICIPALIDAD DE QUELLON";"ILUSTRE MUNICIPALIDAD DE QUELLÓN";911612;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Los Lagos";"Chiloé";"Quellón";18;612426;5225123;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje de plásticos";"Valorización";3,5;"Declaración";2019;NA;"";"chiloe punto verde";"";""
"Municipio";"I MUNICIPALIDAD DE QUELLON";"ILUSTRE MUNICIPALIDAD DE QUELLÓN";911612;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Los Lagos";"Chiloé";"Quellón";18;612426;5225123;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"Reciclaje de papel, cartón y productos de papel";"Valorización";2,1;"Declaración";2019;NA;"";"chiloe punto verde";"";""
"Municipio";"MUNICIPALIDAD DE OVALLE";"ILUSTRE MUNICIPALIDAD DE OVALLE";879726;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Coquimbo";"Limarí";"Ovalle";19;289376;6612193;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"Reciclaje de papel, cartón y productos de papel";"Valorización";9,6;"Declaración";2019;NA;"";"Reciclaje Reciclean Ltda.";"";""
