"tipo_o_rol_declarante";"razon_social";"nombre_establecimiento";"id_establecimiento_vu";"ciiu4";"region";"comuna";"ciiu6";"huso";"coordenada_este";"coordenada_norte";"capitulo_ler";"subcapitulo_ler";"nombre_ler";"tratamiento";"cantidad_toneladas";"declaracion_estimacion";"ano";"id_establecimiento_vu_destinatario";"nombre_de_establecimiento_destinatario";"razon_social_destinatario";"comuna_destinatario";"region_destinatario"
"Generador Municipal";"MUNICIPALIDAD DE ALTO HOSPICIO";"ILUSTRE MUNICIPALIDAD DE ALTO HOSPICIO";1136893;"Actividades de la administración pública en general";"Tarapacá";"Alto Hospicio";"Actividades de la administración pública en general";19;"-38,84598";"-77,58848";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";59000;"Declaración";2020;"5464263";"VERTEDERO EL BORO";"ILUSTRE MUNICIPALIDAD DE IQUIQUE";"Alto Hospicio";"Tarapacá"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE POZO ALMONTE";"ILUSTRE MUNICIPALIDAD DE POZO ALMONTE";2822594;"Actividades de la administración pública en general";"Tarapacá";"Pozo Almonte";"Actividades de la administración pública en general";19;"-41,17911";"-77,59916";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";6025;"Declaración";2020;"5461718";"VERTEDERO DE POZO ALMONTE";"ILUSTRE MUNICIPALIDAD DE POZO ALMONTE";"Pozo Almonte";"Tarapacá"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE CAMINA";"ILUSTRE MUNICIPALIDAD DE CAMIÑA";253479;"Actividades de la administración pública en general";"Tarapacá";"Camiña";"Actividades de la administración pública en general";19;"-45,55181";"-78,64491";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"null";0,98;"Declaración";2020;"5461939";"RELLENO SANITARIO CAMIÑA";"ILUSTRE MUNICIPALIDAD DE CAMINA";"Camiña";"Tarapacá"
"Generador Municipal";"I MUNICIPALIDAD DE COLCHANE";"ILUSTRE MUNICIPALIDAD DE COLCHANE";912283;"Actividades de la administración pública en general";"Tarapacá";"Colchane";"Actividades de la administración pública en general";19;"-37,79957";"-77,63819";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";1440;"Declaración";2020;"5461718";"VERTEDERO DE POZO ALMONTE";"ILUSTRE MUNICIPALIDAD DE POZO ALMONTE";"Pozo Almonte";"Tarapacá"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE HUARA";"ILUSTRE MUNICIPALIDAD DE HUARA";879721;"Actividades de la administración pública en general";"Tarapacá";"Huara";"Actividades de la administración pública en general";19;"-41,19257";"-77,88637";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Basural";787,69;"Declaración";2020;"5461663";"BASURAL";"ILUSTRE MUNICIPALIDAD DE HUARA";"Huara";"Tarapacá"
"Generador Municipal";"I MUNICIPALIDAD DE ANTOFAGASTA";"ILUSTRE MUNICIPALIDAD DE ANTOFAGASTA";325219;"Actividades de la administración pública en general";"Antofagasta";"Antofagasta";"Actividades de la administración pública en general";19;"-35,57631";"-73,85152";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";150,992;"Declaración";2020;"5485914";"Chaqueta Blanca";"I MUNICIPALIDAD DE ANTOFAGASTA";"Antofagasta";"Antofagasta"
"Generador Municipal";"I MUNICIPALIDAD DE SIERRA GORDA";"ILUSTRE MUNICIPALIDAD DE SIERRA GORDA";4085544;"Actividades de la administración pública en general";"Antofagasta";"Sierra Gorda";"Actividades de la administración pública en general";19;"-41,13896";"-74,19293";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";4903;"Declaración";2020;"5462378";"VERTEEDERO MUNICIPAL LOCALIDAD SIERRA GORD";"I MUNICIPALIDAD DE SIERRA GORDA";"Sierra Gorda";"Antofagasta"
"Generador Municipal";"I MUNICIPALIDAD DE SIERRA GORDA";"ILUSTRE MUNICIPALIDAD DE SIERRA GORDA";4085544;"Actividades de la administración pública en general";"Antofagasta";"Sierra Gorda";"Actividades de la administración pública en general";19;"-41,13896";"-74,19293";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";3450;"Declaración";2020;"5462379";"VERTEDERO MUNICIPAL LOCALIDAD DE BAQUEDANO";"I MUNICIPALIDAD DE SIERRA GORDA";"Sierra Gorda";"Antofagasta"
"Generador Municipal";"I MUNICIPALIDAD DE SAN PEDRO DE ATACAMA";"ILUSTRE MUNICIPALIDAD DE SAN PEDRO DE ATACAMA";4085539;"Actividades de la administración pública en general";"Metropolitana de Santiago";"San Pedro Atacama";"Actividades de la administración pública en general";19;"-58,81990";"-74,66161";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";3276;"Declaración";2020;"5479805";"Relleno Sanitario de San Pedro de Atacama";"I MUNICIPALIDAD DE SAN PEDRO DE ATACAMA";"San Pedro Atacama";"Antofagasta"
"Generador Municipal";"I MUNICIPALIDAD DE SAN PEDRO DE ATACAMA";"ILUSTRE MUNICIPALIDAD DE SAN PEDRO DE ATACAMA";4085539;"Actividades de la administración pública en general";"Metropolitana de Santiago";"San Pedro Atacama";"Actividades de la administración pública en general";19;"-58,81990";"-74,66161";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos municipales no especificados en otra categoría";"Relleno sanitario";3276;"Declaración";2020;"5479805";"Relleno Sanitario de San Pedro de Atacama";"I MUNICIPALIDAD DE SAN PEDRO DE ATACAMA";"San Pedro Atacama";"Antofagasta"
