"tipo_o_rol_establecimiento";"razon_social";"nombre_establecimiento";"id_establecimiento_vu";"ciiu4";"ciiu6";"region";"comuna";"coordenada_este";"coordenada_norte";"capitulo_ler";"subcapitulo_ler";"nombre_ler";"tratamiento";"cantidad_toneladas";"declaracion_estimacion";"ano";"id_establecimiento_vu_destinatario";"nombre_de_establecimiento_destinatario";"razon_social_destinatario";"comuna_trazabilidad";"region_destinatario"
"Generador Municipal";"I MUNICIPALIDAD DE VINA DEL MAR";"ILUSTRE MUNICIPALIDAD DE VIÑA DEL MAR";4055170;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Valparaíso";"Viña del Mar";-71,55374101;"-33.02346101";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";260650,797;"Declaración";2021;5452216;"RELLENO SANITARIO EL MOLLE";"GESTION INTEGRAL DE RESIDUOS SPA";"Valparaíso";"Valparaíso"
"Generador Municipal";"I MUNICIPALIDAD DE PUENTE ALTO";"MUNICIPALIDAD DE PUENTE ALTO";5463019;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Puente Alto";-70,57950252;"-33.59291851";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";252550,86;"Declaración";2021;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A";"Tiltil";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE MAIPU";"ILUSTRE MUNICIPALIDAD DE MAIPÚ";4053444;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Maipú";-70,76055684;"-33.51069283";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";227182,7;"Declaración";2021;78709;"RELLENO SANITARIO SANTIAGO PONIENTE";"VEOLIA SU CHILE S.A.";"Maipú";"Metropolitana de Santiago"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE LA FLORIDA";"ILUSTRE MUNICIPALIDAD DE LA FLORIDA";4053500;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"La Florida";-70,59871433;"-33.52269055";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";190376,47;"Declaración";2021;97614;"RELLENO SANITARIO SANTA MARTA";"CONSORCIO SANTA MARTA S A";"Talagante";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE ANTOFAGASTA";"ILUSTRE MUNICIPALIDAD DE ANTOFAGASTA";325219;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Antofagasta";"Antofagasta";-70,39576866;"-23.63803216";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";172004,13;"Declaración";2021;5485914;"CHAQUETA BLANCA";"I MUNICIPALIDAD DE ANTOFAGASTA";"Antofagasta";"Antofagasta"
"Generador Municipal";"I MUNICIPALIDAD DE SANTIAGO";"ILUSTRE MUNICIPALIDAD DE SANTIAGO";5441724;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Santiago";-70,65044388;"-33.43782696";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";163683,64;"Declaración";2021;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A";"Tiltil";"Metropolitana de Santiago"
"Generador Municipal";"MUNICIPALIDAD DE ALTO HOSPICIO";"ILUSTRE MUNICIPALIDAD DE ALTO HOSPICIO";1136893;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Tarapacá";"Alto Hospicio";-70,10502053;"-20.26463746";"Residuos de la construcción y demolición";"Otros residuos de construcción y demolición";"Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03";"Disposición final";156000;"Declaración";2021;NA;"DESTINATARIO FINAL";"I MUNICIPALIDAD DE IQUIQUE";"Iquique";"Tarapacá"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE IQUIQUE";"ILUSTRE MUNICIPALIDAD DE IQUIQUE";879722;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Tarapacá";"Iquique";-70,08668276;"-20.23949876";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";140437,09;"Declaración";2021;5464263;"VERTEDERO EL BORO";"ILUSTRE MUNICIPALIDAD DE IQUIQUE";"Alto Hospicio";"Tarapacá"
"Generador Municipal";"I MUNICIPALIDAD DE SAN BERNARDO";"ILUSTRE MUNICIPALIDAD DE SAN BERNARDO";323796;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"San Bernardo";-70,70150871;"-33.59526844";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";136715,633;"Declaración";2021;97614;"RELLENO SANITARIO SANTA MARTA";"CONSORCIO SANTA MARTA S A";"Talagante";"Metropolitana de Santiago"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE VALPARAÍSO";"ILUSTRE MUNICIPALIDAD DE VALPARAÍSO";5441443;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Valparaíso";"Valparaíso";-71,61268988;"-33.04723373";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";131499,05;"Declaración";2021;5452216;"RELLENO SANITARIO EL MOLLE";"GESTION INTEGRAL DE RESIDUOS SPA";"Valparaíso";"Valparaíso"
